Domain name;Source;Cloudflare (Unfiltered) - 1.1.1.1;Cloudflare (Security Only) - 1.1.1.2;Cleanbrowsing - 185.228.168.168;AdGuard - 94.140.14.15;Quad9 (Malware/Ad Blocking) - 9.9.9.9
PING (ms);-;22.301;18.287;15.134;21.809;22.932
nexxwave.be (safe domain);-;85.9.209.122;85.9.209.122;85.9.209.122;85.9.209.122;85.9.209.122
nasa.gov (safe domain);-;192.0.66.108;192.0.66.108;192.0.66.108;192.0.66.108;192.0.66.108
google.com (safe domain);-;142.250.79.206;172.217.29.238;142.250.219.14;172.217.30.78;142.251.134.174
cloudflare.com (safe domain);-;104.16.132.229;104.16.133.229;104.16.133.229;104.16.133.229;104.16.132.229
microsoft.com (safe domain);-;13.107.213.34;13.107.213.34;13.107.246.34;13.107.213.33;13.107.226.33


Domain name;Source;Cloudflare (Unfiltered) - 1.1.1.1;Cloudflare (Security Only) - 1.1.1.2;Cleanbrowsing - 185.228.168.168;AdGuard - 94.140.14.15;Quad9 (Malware/Ad Blocking) - 9.9.9.9
1123uuuququq4.shop;CERT.pl;172.67.165.125;
1123uuuququq7.shop;CERT.pl;104.21.79.223;
1123uuuququq8.shop;CERT.pl;172.67.198.4;
1123uuuququq9.shop;CERT.pl;172.67.169.30;
1131gg.top;CERT.pl;172.234.24.211;
118uu9.top;CERT.pl;8.8.8.8;
119uu3.top;CERT.pl;8.8.8.8;
121uu8.top;CERT.pl;8.8.8.8;
123coachkimberly.com;CERT.pl;206.189.63.20;
123ecos.com;CERT.pl;74.119.239.234;
123gems.com;CERT.pl;138.197.67.62;
123giftstore.com;CERT.pl;78.159.156.19;
123halal.com;CERT.pl;134.209.165.143;
123mobas.com;CERT.pl;146.190.26.87;
123rjk.com;CERT.pl;78.159.156.214;
123stationery.com;CERT.pl;165.227.66.115;
123sugarfree.com;CERT.pl;45.55.78.174;
1279-casefb550747.vercel.app;CERT.pl;64.29.17.67;
12839.click;CERT.pl;172.67.221.70;
12f942fd.flyjasper.ca;CERT.pl;156.59.27.193;
12plan.com;CERT.pl;188.166.26.57;
131uu9.top;CERT.pl;8.8.8.8;
13356ac7.flyjasper.ca;CERT.pl;156.59.27.193;
134-112-41-101.cprapid.com;CERT.pl;134.112.41.101;
134-199-196-13.cprapid.com;CERT.pl;134.199.196.13;134.199.196.13
1350euro-maxima.com;CERT.pl;46.8.9.229;
13ritain.com;CERT.pl;104.21.23.135;
143k.com;CERT.pl;185.138.88.134;
14593601.euro-maconnerie.fr;CERT.pl;156.59.27.193;
147-182-150-254.cprapid.com;CERT.pl;147.182.150.254;147.182.150.254
14e9568c.liftmyresume.com;CERT.pl;156.59.27.193;
14uu2.top;CERT.pl;8.8.8.8;
1500hf.com;CERT.pl;78.159.156.17;
151d9fc576f8.net-nf.digital;CERT.pl;104.21.48.70;
1532.click;CERT.pl;172.67.177.209;
155237.weebly.com;CERT.pl;74.115.51.9;;;74.115.51.9
156uu3.top;CERT.pl;8.8.8.8;
158-23-56-18.cprapid.com;CERT.pl;158.23.56.18;158.23.56.18
1583c083.liftmyresume.com;CERT.pl;156.59.27.193;
15d89b7e.flyjasper.ca;CERT.pl;156.59.27.193;
15w619qjr.pro;CERT.pl;185.238.2.174;
1618cnd.com;CERT.pl;144.31.244.17;
16235.click;CERT.pl;172.67.160.218;
16278885.euro-maconnerie.fr;CERT.pl;156.59.27.193;
164-92-221-113.cprapid.com;CERT.pl;164.92.221.113;
16482703.euro-maconnerie.fr;CERT.pl;156.59.27.193;
165-227-112-65.cprapid.com;CERT.pl;165.227.112.65;165.227.112.65
16633chevalin.com;CERT.pl;185.21.9.221;
1688sagamecom.info;CERT.pl;104.21.92.124;
168ninja.pro;CERT.pl;104.21.4.234;;;;104.21.4.234
16ccc950.liftmyresume.com;CERT.pl;156.59.27.193;
172-104-15-233.cprapid.com;CERT.pl;172.104.15.233;172.104.15.233;;172.104.15.233
17319805.kbh-services.fr;CERT.pl;156.59.27.193;
17361.click;CERT.pl;172.67.162.88;
17511681.euro-maconnerie.fr;CERT.pl;156.59.27.193;
176-124-199-76.cprapid.com;CERT.pl;176.124.199.76;
178zb6.com;CERT.pl;185.76.243.104;
17f98e79aed416f5.com;CERT.pl;156.238.235.171;
17uu30.top;CERT.pl;8.8.8.8;
180uu2.top;CERT.pl;8.8.8.8;
180uu8.top;CERT.pl;8.8.8.8;
1819uu.top;CERT.pl;8.8.8.8;
185-237-14-94.cprapid.com;CERT.pl;185.237.14.94;185.237.14.94
185.236.228.60.sslip.io;CERT.pl;185.236.228.60;;;185.236.228.60
187hjdc.com;CERT.pl;54.46.123.255;
189889.weebly.com;CERT.pl;74.115.51.9;;;74.115.51.9
18a0d857.flyjasper.ca;CERT.pl;156.59.27.193;
18uu8.top;CERT.pl;8.8.8.8;
19-59-hm.com;CERT.pl;158.94.210.99;
19-59-og.com;CERT.pl;78.159.156.214;
19-59-pc.com;CERT.pl;78.159.156.214;
19-59-rg.com;CERT.pl;78.159.156.214;
19191hqjjjjj1.shop;CERT.pl;104.21.23.58;
19191hqjjjjj10.shop;CERT.pl;172.67.196.127;
19191hqjjjjj2.shop;CERT.pl;172.67.156.20;
19191hqjjjjj3.shop;CERT.pl;172.67.187.45;
19191hqjjjjj4.shop;CERT.pl;104.21.20.66;
19191hqjjjjj5.shop;CERT.pl;104.21.53.80;
19191hqjjjjj7.shop;CERT.pl;172.67.198.221;
19191hqjjjqjj1.shop;CERT.pl;104.21.66.90;
19191hqjjjqjj10.shop;CERT.pl;172.67.163.31;
19191hqjjjqjj2.shop;CERT.pl;172.67.129.221;
19191hqjjjqjj3.shop;CERT.pl;172.67.212.105;
19191hqjjjqjj4.shop;CERT.pl;104.21.58.68;
19191hqjjjqjj5.shop;CERT.pl;104.21.58.3;
19191hqjjjqjj7.shop;CERT.pl;172.67.181.142;
19191hqjjjqjj8.shop;CERT.pl;172.67.197.19;
19191hqjjjqjj9.shop;CERT.pl;104.21.48.11;
19271.click;CERT.pl;104.21.35.202;
193-168-175-235.cloud-xip.com;CERT.pl;193.168.175.235;
195739.vu;CERT.pl;104.21.89.85;
19732556.euro-maconnerie.fr;CERT.pl;156.59.27.193;
1batteries.com;CERT.pl;138.226.237.160;
1beautyproducts.com;CERT.pl;138.226.237.160;
1butterfly.com;CERT.pl;152.42.177.246;
1butterflyuniques.com;CERT.pl;143.110.220.23;
1c829372.liftmyresume.com;CERT.pl;156.59.27.193;
1cc1.prowla.pl;CERT.pl;104.21.87.252;
1cc18.prowla.pl;CERT.pl;104.21.87.252;
1d17.prowla.pl;CERT.pl;172.67.149.69;
1d79.net-zaplac.shop;CERT.pl;172.67.183.248;
1d8b7ea2.liftmyresume.com;CERT.pl;156.59.27.193;
1e0746e0.flyjasper.ca;CERT.pl;156.59.27.193;
1e585cad.liftmyresume.com;CERT.pl;156.59.27.193;
1equipment.com;CERT.pl;188.166.151.112;
1f38-casefb196344.vercel.app;CERT.pl;216.198.79.67;
1fd3b052.flyjasper.ca;CERT.pl;156.59.27.193;
1fegaro.info;CERT.pl;185.7.78.18;
1fn8.com;CERT.pl;144.31.244.17;
1g-profitsystem.com;CERT.pl;194.87.132.115;
1generator.com;CERT.pl;167.71.13.233;
1generators.com;CERT.pl;138.226.237.160;
1herbalcare.com;CERT.pl;138.226.237.160;
1homesecurity.com;CERT.pl;138.226.237.160;
1htf2tgv.sbs;CERT.pl;96.126.111.165;
1instruments.com;CERT.pl;138.226.237.160;
1k-dailyprofit-pro.com;CERT.pl;185.62.58.189;
1k-dailyprofitapp.com;CERT.pl;185.62.58.189;
1kdailyprofitstech.com;CERT.pl;185.62.58.189;
1khm-casefb557103.vercel.app;CERT.pl;64.29.17.3;
1kitchenware.com;CERT.pl;78.159.156.19;
